N	V	V1
1288000	80642	41279
1289000	80661	41289
1290000	80686	41302
1291000	80737	41321
1292000	80787	41336
1293000	80843	41357
1294000	80880	41369
1295000	80939	41396
1296000	80979	41422
1297000	81012	41433
1298000	81052	41457
1299000	81090	41470
1300000	81133	41495
1301000	81182	41519
1302000	81234	41548
1303000	81305	41591
1304000	81354	41626
1305000	81408	41665
1306000	81456	41691
1307000	81521	41735
1308000	81588	41780
1309000	81640	41807
1310000	81687	41835
1311000	81733	41856
1312000	81771	41877
1313000	81829	41910
1314000	81880	41928
1315000	81930	41952
1316000	82009	42006
1317000	82076	42046
1318000	82149	42093
1319000	82211	42131
1320000	82248	42148
1321000	82299	42184
1322000	82333	42203
1323000	82367	42225
1324000	82400	42236
1325000	82441	42264
1326000	82473	42284
1327000	82490	42280
1328000	82528	42299
1329000	82566	42312
1330000	82605	42331
1331000	82650	42350
1332000	82705	42381
1333000	82738	42396
1334000	82770	42415
1335000	82808	42432
1336000	82833	42442
1337000	82866	42455
1338000	82915	42488
1339000	82952	42514
1340000	82973	42528
1341000	82998	42543
1342000	83032	42565
1343000	83054	42578
1344000	83088	42599
1345000	83122	42620
1346000	83144	42633
1347000	83171	42646
1348000	83199	42648
1349000	83222	42659
1350000	83254	42669
1351000	83295	42694
1352000	83326	42704
1353000	83377	42733
1354000	83414	42748
1355000	83447	42763
1356000	83487	42792
1357000	83523	42811
1358000	83549	42818
1359000	83588	42848
1360000	83624	42872
1361000	83664	42898
1362000	83699	42912
1363000	83728	42929
1364000	83751	42945
1365000	83781	42954
1366000	83813	42969
1367000	83848	42990
1368000	83879	43004
1369000	83911	43019
1370000	83956	43047
1371000	83996	43067
1372000	84025	43080
1373000	84055	43096
1374000	84091	43114
1375000	84125	43136
1376000	84152	43149
1377000	84183	43162
1378000	84210	43174
1379000	84243	43196
1380000	84273	43214
1381000	84309	43238
1382000	84338	43257
1383000	84368	43274
1384000	84407	43304
1385000	84431	43321
1386000	84458	43340
1387000	84481	43349
1388000	84498	43354
1389000	84511	43357
1390000	84555	43387
1391000	84585	43402
1392000	84628	43419
1393000	84657	43436
1394000	84688	43455
1395000	84717	43463
1396000	84758	43494
1397000	84795	43514
1398000	84836	43540
1399000	84868	43557
1400000	84902	43580
1401000	84928	43587
1402000	84963	43615
1403000	84986	43624
1404000	85002	43631
1405000	85053	43662
1406000	85108	43697
1407000	85142	43725
1408000	85167	43741
1409000	85186	43752
1410000	85203	43756
1411000	85249	43784
1412000	85285	43808
1413000	85315	43820
1414000	85344	43834
1415000	85373	43852
1416000	85405	43869
1417000	85450	43896
1418000	85479	43914
1419000	85510	43927
1420000	85534	43931
1421000	85566	43953
1422000	85575	43953
1423000	85615	43981
1424000	85650	43999
1425000	85679	44022
1426000	85703	44031
1427000	85754	44059
1428000	85783	44068
1429000	85814	44076
1430000	85838	44088
1431000	85862	44097
1432000	85899	44114
1433000	85952	44138
1434000	85984	44149
1435000	86017	44164
1436000	86041	44168
1437000	86067	44176
1438000	86087	44183
1439000	86112	44195
1440000	86133	44205
1441000	86147	44206
1442000	86189	44236
1443000	86237	44265
1444000	86279	44284
1445000	86305	44285
1446000	86329	44293
1447000	86361	44303
1448000	86403	44332
1449000	86441	44343
1450000	86480	44367
1451000	86510	44380
1452000	86533	44391
1453000	86556	44402
1454000	86570	44402
1455000	86585	44401
1456000	86618	44424
1457000	86636	44434
1458000	86660	44450
1459000	86675	44457
1460000	86693	44463
1461000	86718	44473
1462000	86765	44507
1463000	86800	44522
1464000	86832	44539
1465000	86869	44550
1466000	86905	44568
1467000	86940	44591
1468000	86977	44602
1469000	86993	44613
1470000	87015	44624
1471000	87038	44639
1472000	87060	44647
1473000	87086	44665
1474000	87108	44674
1475000	87136	44690
1476000	87159	44697
1477000	87184	44712
1478000	87203	44712
1479000	87219	44719
1480000	87243	44732
1481000	87281	44752
1482000	87321	44763
1483000	87360	44793
1484000	87392	44809
1485000	87432	44832
1486000	87468	44854
1487000	87502	44871
1488000	87540	44896
1489000	87581	44910
1490000	87612	44922
1491000	87654	44952
1492000	87684	44969
1493000	87706	44983
1494000	87752	45015
1495000	87779	45030
